ลำดับ,วันที่,สถานะ,รหัสกล้อง,สถานที่,เขต,ช่วงเวลา,ผู้ตรวจ,ใส่หน้ากาก,ใส่ไม่ถูกต้อง,ไม่ใส่หน้ากาก,เวลา,หมายเหตุ
1,21/1/2564,done,CM-KT-18-02-01,ป้ายรถเมล์ประจำทางใต้สถานีรถไฟฟ้าอ่อนนุช(ขาเข้า),คลองเตย,เช้า,วาริ,375,8,0,07.00 - 08.00,
2,21/1/2564,done,CM-KT-18-02-01,ป้ายรถเมล์ประจำทางใต้สถานีรถไฟฟ้าอ่อนนุช(ขาเข้า),คลองเตย,เย็น,วาริ,330,8,6,17.00 - 18.00,
3,21/1/2564,done,CM-DM-08-01-04,บริเวณแยกพหลโยธิน62ถนนพหลโยธินขาเข้า-ขาออก,ดอนเมือง,เช้า,วาริ,275,5,17,07.00 - 08.00,
4,21/1/2564,done,CM-DM-08-01-04,บริเวณแยกพหลโยธิน62ถนนพหลโยธินขาเข้า-ขาออก,ดอนเมือง,เย็น,วาริ,413,12,48,17.00 - 18.00,
5,21/1/2564,done,CM-KY-04,ปากซอยจรัญฯ4ถ.จรัญสนิทวงศ์,บางกอกใหญ่,เช้า,วาริ,213,3,6,07.00 - 08.00,
6,21/1/2564,done,CM-KY-04,ปากซอยจรัญฯ4ถ.จรัญสนิทวงศ์,บางกอกใหญ่,เย็น,วาริ,213,8,14,15.00 - 16.00,
9,21/1/2564,done,BE-14,หน้าตลาดยิ่งเจริญ ถนนพหลโยธิน (C1),บางเขน,เช้า,ฟลุ๊ค,245,3,0,07.00 - 08.00,
10,21/1/2564,done,BE-14,หน้าตลาดยิ่งเจริญ ถนนพหลโยธิน (C1),บางเขน,เย็น,ฟลุ๊ค,188,3,1,17.00 - 18.00,
11,21/1/2564,done,CM-BE-13,ปากทางเข้าม.เศรษฐกิจ,บางแค,เช้า,วาริ,227,2,5,07.00 - 08.00,
12,21/1/2564,done,CM-BE-13,ปากทางเข้าม.เศรษฐกิจ,บางแค,เย็น,วาริ,411,5,4,17.00 - 18.00,
13,21/1/2564,done,PT-24-02-01,แนวถนนราชดำริ2,ปทุมวัน,เช้า,ฟลุ๊ค,685,6,1,07.00 - 08.00,
14,21/1/2564,done,PT-24-02-01,แนวถนนราชดำริ2,ปทุมวัน,เย็น,ฟลุ๊ค,355,10,10,17.00 - 18.00,
15,21/1/2564,done,CB-PY-18,เเนวถนนพหลโยธิน BTS สนามเป้า สามเสนใน พญาไท กรุงเทพ,พญาไท,เช้า,เบญ,81,0,0,06.30 - 07.30,เปลี่ยนช่วงเวลาเป็น (06.30-07.30)
16,21/1/2564,done,CB-PY-18,เเนวถนนพหลโยธิน BTS สนามเป้า สามเสนใน พญาไท กรุงเทพ,พญาไท,เย็น,เบญ,138,3,2,17.00 - 18.00,
21,21/1/2564,done,PN-296,ถนนราชดำเนินกลาง ถนนตะนาว พระนคร,พระนคร,เช้า,ฟลุ๊ค,687,4,0,10.00 - 11.00,
22,21/1/2564,done,PN-296,ถนนราชดำเนินกลาง ถนนตะนาว พระนคร,พระนคร,เย็น,ฟลุ๊ค,238,5,4,15.00 - 16.00,
23,21/1/2564,done,CM-PR-08-02-03,เพชรเกษม36,ภาษีเจริญ,เช้า,เกรซ,301,0,7,07.00 - 08.00,
24,21/1/2564,done,CM-PR-08-02-03,เพชรเกษม36,ภาษีเจริญ,เย็น,เกรซ,306,6,9,17.00 - 18.00,
25,21/1/2564,done,RW-42-02-02,แนวถนนพญาไท1,ราชเทวี,เช้า,ฟลุ๊ค,245,1,1,07.00 - 08.00,
26,21/1/2564,done,RW-42-02-02,แนวถนนพญาไท1,ราชเทวี,เย็น,ฟลุ๊ค,145,8,4,17.00 - 18.00,
27,21/1/2564,done,CM-RN-02,บริเวณตลาดบางปะกอก,ราษฎร์บูรณะ,เช้า,ฮุ้ง,223,3,0,07.00 - 08.00,
28,21/1/2564,done,CM-RN-02,บริเวณตลาดบางปะกอก,ราษฎร์บูรณะ,เย็น,ฮุ้ง,248,5,8,17.00 - 18.00,
29,21/1/2564,done,SW-04,แนวถนนเยาวราช1,สัมพันธวงศ์ ,เช้า,กาย,356,5,0,07.00 - 08.00,
