เขต,ใส่หน้ากาก,ใส่ไม่ถูกต้อง,ไม่ใส่หน้ากาก,จำนวนประชากร,ร้อยละใส่,error
คลองเตย,4563,60,35,4658,97.96,2.04
คลองสาน,2008,127,170,2305,87.11,12.89
จอมทอง,2884,213,110,3207,89.93,10.07
ดอนเมือง,2534,111,193,2838,89.29,10.71
ทุ่งครุ,6391,120,51,6562,97.39,2.61
บางกอกน้อย,2803,118,36,2957,94.79,5.21
บางกอกใหญ่,1708,58,76,1842,92.73,7.27
บางกะปิ,3795,121,141,4057,93.54,6.46
บางขุุนเทียน,2709,72,63,2844,95.25,4.75
บางเขน,1907,45,31,1983,96.17,3.83
บางคอแหลม,420,26,25,471,89.17,10.83
บางแค,4510,78,57,4645,97.09,2.91
บางนา,12055,339,124,12518,96.30,3.70
บางพลัด,4881,183,139,5203,93.81,6.19
บางรัก,1622,79,73,1774,91.43,8.57
ปทุมวัน,6930,245,99,7274,95.27,4.73
พญาไท,2254,29,29,2312,97.49,2.51
ภาษีเจริญ,2107,72,96,2275,92.62,7.38
ยานนาวา,423,53,76,552,76.63,23.37
ราชเทวี,2043,44,35,2122,96.28,3.72
ราษฎร์บูรณะ,3261,92,84,3437,94.88,5.12
ลาดกระบัง,836,28,38,902,92.68,7.32
สวนหลวง,2859,145,68,3072,93.07,6.93
สัมพันธวงศ์,3055,110,165,3330,91.74,8.26
สาทร,1626,88,118,1832,88.76,11.24
หนองแขม,2941,72,81,3094,95.05,4.95
ดุสิต,1144,27,44,1215,94.16,5.84
ป้อมปราบศัตรูพ่าย,819,24,39,882,92.86,7.14
พระนคร,1440,84,47,1571,91.66,8.34
